algorithm,case,start,destination,waypoints_in_order,reachable,total_cost,runtime_ns,runtime_ms,path
Dijkstra,Case 1,L0001,L0001,NONE,true,0,39300,0.039300,L0001
Dijkstra,Case 2,L0001,L0010,NONE,true,27,3660800,3.660800,L0001 -> L0340 -> L0339 -> L0895 -> L0894 -> L0082 -> L0284 -> L0010
Dijkstra,Case 3,L0001,L0101,L0105,true,39,2114900,2.114900,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0827 -> L0996 -> L0101
Dijkstra,Case 4,L0001,L0201,L0105 -> L0205,true,48,1913900,1.913900,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0243 -> L0242 -> L0241 -> L0385 -> L0205 -> L0201
Bidirectional Dijkstra,Case 1,L0001,L0001,NONE,true,0,26700,0.026700,L0001
Bidirectional Dijkstra,Case 2,L0001,L0010,NONE,true,27,4478300,4.478300,L0001 -> L0340 -> L0339 -> L0895 -> L0894 -> L0082 -> L0284 -> L0010
Bidirectional Dijkstra,Case 3,L0001,L0101,L0105,true,39,502600,0.502600,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0827 -> L0996 -> L0101
Bidirectional Dijkstra,Case 4,L0001,L0201,L0105 -> L0205,true,48,623600,0.623600,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0243 -> L0242 -> L0241 -> L0385 -> L0205 -> L0201
A* (h=0),Case 1,L0001,L0001,NONE,true,0,24100,0.024100,L0001
A* (h=0),Case 2,L0001,L0010,NONE,true,27,7707100,7.707100,L0001 -> L0340 -> L0339 -> L0895 -> L0894 -> L0082 -> L0284 -> L0010
A* (h=0),Case 3,L0001,L0101,L0105,true,39,2865100,2.865100,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0827 -> L0996 -> L0101
A* (h=0),Case 4,L0001,L0201,L0105 -> L0205,true,48,2692400,2.692400,L0001 -> L0340 -> L0339 -> L0247 -> L0017 -> L0128 -> L0107 -> L0106 -> L0105 -> L0106 -> L0107 -> L0108 -> L0243 -> L0242 -> L0241 -> L0385 -> L0205 -> L0201
