dataset,rank,location_id,priority_score
Dataset A,1,L0001,10000
Dataset A,2,L0002,9999
Dataset A,3,L0003,9998
Dataset A,4,L0004,9997
Dataset A,5,L0005,9996
Dataset A,6,L0006,9995
Dataset A,7,L0007,9994
Dataset A,8,L0008,9993
Dataset A,9,L0009,9992
Dataset A,10,L0010,9991
Dataset B,1,L0101,10000
Dataset B,2,L0102,9999
Dataset B,3,L0103,9998
Dataset B,4,L0104,9997
Dataset B,5,L0105,9996
Dataset B,6,L0106,9995
Dataset B,7,L0107,9994
Dataset B,8,L0108,9993
Dataset B,9,L0109,9992
Dataset B,10,L0110,9991
Dataset C,1,L0201,5000
Dataset C,2,L0202,5000
Dataset C,3,L0203,5000
Dataset C,4,L0204,5000
Dataset C,5,L0205,5000
Dataset C,6,L0206,5000
Dataset C,7,L0207,5000
Dataset C,8,L0208,5000
Dataset C,9,L0209,5000
Dataset C,10,L0210,5000
